@relation dataset-fixedxlsx

@attribute Case_no numeric
@attribute checking_status {0<=X<200,<0,'no checking',>=200}
@attribute credit_history {'existing paid','delayed previously','critical/other existing credit','no credits/all paid','all paid'}
@attribute purpose {radio/tv,furniture/equipment,'new car',business,'used car',education,'domestic appliance',repairs,retraining,other}
@attribute credit_amount numeric
@attribute saving_status {<100,500<=X<1000,'no known savings',100<=X<500,>=1000}
@attribute employment {1<=X<4,4<=X<7,>=7,<1,unemployed}
@attribute personal_status {'female div/dep/mar','male single','male mar/wid','male div/sep'}
@attribute age numeric
@attribute job {skilled}
@attribute class {bad,good}

@data
917,'no checking','existing paid','used car',2848,100<=X<500,1<=X<4,'male single',32,skilled,good
919,<0,'existing paid',furniture/equipment,2359,100<=X<500,unemployed,'male div/sep',33,skilled,bad
921,'no checking','critical/other existing credit',furniture/equipment,1817,<100,1<=X<4,'female div/dep/mar',28,skilled,good
923,<0,'existing paid',radio/tv,1366,<100,<1,'female div/dep/mar',22,skilled,bad
924,0<=X<200,'existing paid','new car',2002,<100,4<=X<7,'male single',30,skilled,good
925,<0,'all paid',furniture/equipment,6872,<100,<1,'male div/sep',55,skilled,bad
926,<0,'all paid','new car',697,<100,<1,'male single',46,skilled,bad
927,<0,'critical/other existing credit',furniture/equipment,1049,<100,<1,'female div/dep/mar',21,skilled,good
928,<0,'existing paid','used car',10297,<100,4<=X<7,'male single',39,skilled,bad
929,'no checking','existing paid',radio/tv,1867,'no known savings',>=7,'male single',58,skilled,good
932,0<=X<200,'existing paid',radio/tv,1670,<100,<1,'female div/dep/mar',22,skilled,bad
933,'no checking','critical/other existing credit','new car',1224,<100,1<=X<4,'male single',30,skilled,good
934,'no checking','critical/other existing credit',radio/tv,522,500<=X<1000,>=7,'male single',42,skilled,good
935,<0,'existing paid',radio/tv,1498,<100,1<=X<4,'female div/dep/mar',23,skilled,good
939,0<=X<200,'existing paid',education,6288,<100,1<=X<4,'male single',42,skilled,bad
943,'no checking','existing paid',furniture/equipment,929,'no known savings',4<=X<7,'male single',31,skilled,good
945,<0,'existing paid',furniture/equipment,1845,<100,<1,'female div/dep/mar',46,skilled,good
946,0<=X<200,'no credits/all paid','new car',8358,500<=X<1000,<1,'female div/dep/mar',30,skilled,good
947,<0,'all paid',furniture/equipment,3349,500<=X<1000,<1,'male single',30,skilled,bad
950,'no checking','existing paid',radio/tv,3621,100<=X<500,>=7,'male single',31,skilled,bad
952,<0,'delayed previously',business,2145,<100,4<=X<7,'male single',24,skilled,bad
953,0<=X<200,'existing paid','used car',4113,500<=X<1000,<1,'female div/dep/mar',28,skilled,bad
955,<0,'existing paid','new car',1893,<100,1<=X<4,'female div/dep/mar',29,skilled,good
960,0<=X<200,'existing paid',furniture/equipment,3069,100<=X<500,>=7,'male single',30,skilled,good
961,'no checking','critical/other existing credit',radio/tv,1740,<100,>=7,'male mar/wid',30,skilled,good
962,0<=X<200,'delayed previously','new car',2353,<100,1<=X<4,'male div/sep',47,skilled,good
963,'no checking','existing paid','new car',3556,'no known savings',1<=X<4,'male single',29,skilled,good
964,'no checking','existing paid',radio/tv,2397,500<=X<1000,>=7,'male single',35,skilled,bad
966,0<=X<200,'existing paid',radio/tv,1715,'no known savings',1<=X<4,'female div/dep/mar',26,skilled,good
969,'no checking','existing paid',radio/tv,7166,'no known savings',4<=X<7,'male mar/wid',29,skilled,good
971,0<=X<200,'existing paid',repairs,1514,100<=X<500,1<=X<4,'male single',22,skilled,good
974,<0,'existing paid',business,7297,<100,>=7,'male single',36,skilled,bad
975,'no checking','critical/other existing credit',radio/tv,2831,<100,1<=X<4,'female div/dep/mar',33,skilled,good
977,0<=X<200,'existing paid',radio/tv,753,<100,1<=X<4,'female div/dep/mar',64,skilled,good
978,0<=X<200,'delayed previously',business,2427,'no known savings',>=7,'male single',42,skilled,good
980,0<=X<200,'all paid','new car',1264,100<=X<500,1<=X<4,'male mar/wid',25,skilled,bad
981,0<=X<200,'critical/other existing credit',furniture/equipment,8386,<100,4<=X<7,'male single',49,skilled,bad
984,<0,'existing paid','used car',8229,<100,1<=X<4,'male single',26,skilled,bad
986,<0,'critical/other existing credit',furniture/equipment,1433,<100,1<=X<4,'female div/dep/mar',25,skilled,good
987,>=200,'no credits/all paid',business,6289,<100,<1,'male div/sep',33,skilled,good
988,'no checking','existing paid',radio/tv,1409,100<=X<500,unemployed,'female div/dep/mar',64,skilled,good
995,'no checking','existing paid','new car',2390,'no known savings',>=7,'male single',50,skilled,good
998,'no checking','existing paid',radio/tv,804,<100,>=7,'male single',38,skilled,good
999,<0,'existing paid',radio/tv,1845,<100,1<=X<4,'male single',23,skilled,bad
1000,0<=X<200,'critical/other existing credit','used car',4576,100<=X<500,unemployed,'male single',27,skilled,good
